id,userId,description,status,responseMessage
1,user_1001,초보자 가이드 공략 보기를 완료했으나 보상 캐릭터가 존재하지 않아 확인 부탁드립니다.,RESOLVED,보상을 실제로 보낸 적이 있는지 확인 필요
2,user_1002,"초보자 가이드의 공략 보기를 모두 완료했음에도 불구하고, 지급되어야 할 보상 캐릭터가 확인되지 않고 있습니다. 해당 내용에 대한 조사 및 확인을 부탁드립니다.",RESOLVED,보상을 실제로 보낸 적이 있는지 확인 필요
3,user_1003,초보자 가이드 공략을 시청 완료했습니다. 하지만 보상 캐릭터가 인벤토리에서 누락되어 있습니다. 캐릭터 지급 여부에 대한 검토를 요청드립니다.,RESOLVED,보상을 실제로 보낸 적이 있는지 확인 필요
4,user_1004,"초보자 가이드의 공략 시청 조건은 충족하였는데, 보상 캐릭터를 수령할 수 없는 상태입니다. 캐릭터가 정상적으로 지급되었는지 확인 부탁드립니다.",RESOLVED,보상을 실제로 보낸 적이 있는지 확인 필요
5,user_1005,"초보자 가이드 공략 보기를 마쳤으나, 보상으로 예정된 특정 캐릭터가 계정에 존재하지 않는 상황입니다. 관련 로그 확인을 요청드립니다.",RESOLVED,보상을 실제로 보낸 적이 있는지 확인 필요
6,user_2001,어제 구매한 전설검이 인벤토리에서 사라져 확인 부탁드립니다.,RESOLVED,"핵심 테이블: 구매 상태 테이블, 상점 구매 로그 테이블, 보상 로그 테이블. 핵심 칼럼: buy_count, reward_count, product_id. 1) 현재 상태 확인(Current state check): 구매 상태 테이블에서 유저의 구매 카운트와 보상 카운트를 조회한다. 2) 실제 구매 검증(Purchase verification): 상점 구매 로그 테이블로 실제 구매 횟수를 재확인한다. 3) 보상 지급 검증(Reward verification): 보상 로그 테이블에서 보상 카운트에 해당하는 아이템 지급 횟수를 조회한다. 4) 정합성 맞추기(Consistency fix): 구매 카운트와 보상 카운트를 비교해 ‘구매 > 보상’이면 추가 지급 가능, ‘구매 <= 보상’이면 불가 상태가 되도록 안전하게 카운트를 조정한다. 5) 판단(Decision): 초과 지급/미지급 여부와 카운트 조정 내역을 설명하고, 필요 시 추가 보상 또는 향후 지급 제한을 안내한다."
7,user_2002,실수로 희귀 방어구를 삭제했는데 복구 가능 여부를 안내해 주시기 바랍니다.,RESOLVED,서버 개발자 확인이 필요
8,user_2003,강화 중 파괴하지 않았는데 아이템이 사라져 원인 확인 부탁드립니다.,RESOLVED,서버 개발자 확인이 필요
9,user_2004,반지를 제가 판매했는지 아니면 사라졌는지 확인해 주시면 감사하겠습니다.,RESOLVED,서버 개발자 확인이 필요
10,user_2005,창고에 보관한 아이템이 사라졌으니 로그 확인 부탁드립니다.,RESOLVED,서버 개발자 확인이 필요
11,user_3001,크리스마스 이벤트에 참여했지만 산타 모자 코스튬이 지급되지 않아 확인 부탁드립니다.,RESOLVED,"핵심 테이블: 환영 스킨 이벤트 테이블, 우편함 로그 테이블. 핵심 칼럼: reward_flag, mail_state, delete_type. 1) 이벤트 기록 확인(Event log check): 환영 스킨 이벤트 테이블에서 참여 여부와 보상 플래그를 확인한다. 2) 우편함 확인(Mail box check): 우편함 로그 테이블에서 환영 스킨 발송·삭제 내역과 delete_type을 조회한다. 3) 판단(Decision): 이벤트 기록과 우편함 상태를 조합해 미참여, 미수령 만료, 이미 수령 등을 구분하고, 정책에 맞춘 환영 스킨 재지급 가능 여부를 안내한다."
12,user_3002,주말 이벤트에 참여했으나 보상이 지급되지 않아 확인을 요청드립니다.,RESOLVED,"핵심 테이블: 일일미션 보상 테이블, 우편함 로그 테이블, 인벤토리 로그 테이블. 핵심 칼럼: quest_id, reward_id, mail_state. 1) 날짜 정규화(Date normalization): 유저가 말한 ‘오늘/어제’를 서버 시간 기준으로 변환해 일일미션 수행 날짜를 특정한다. 2) 보상 로그 확인(Reward log check): 일일미션 보상 테이블에서 해당 유저 또는 보상 ID가 포함된 data 필드를 조회한다. 3) 추가 확인(Additional check): 우편함·인벤토리 로그 테이블로 실제 수령 여부를 교차 검증한다. 4) 판단(Decision): 지급 로그 유무와 일일미션 완료 조건 충족 여부를 기준으로 정상 지급/미지급/시차 문제를 구분하고, 필요 시 정책에 따라 보상 지급 또는 설명만 제공한다."
